id;BSSID;SSID;AvgRSSI;LocationID
2624;80:e0:1d:f6:a4:d0;LU-Guest;-78;46
2625;80:e0:1d:f6:a4:d2;eduroam;-78;46
2626;80:e0:1d:f6:a4:d1;LakeheadU;-78;46
2627;80:e0:1d:f6:a4:d3;LU-Events;-78;46
2628;a6:53:22:40:4f:e8;eduroam;-79;46
2629;ae:53:22:40:4f:e8;NOSMConnect24;-79;46
2630;d8:b1:90:e1:12:b0;LU-Guest;-79;46
2631;9c:53:22:40:4f:e8;TBAYTech;-80;46
2632;ac:7a:56:c8:62:07;Free Tbaytel WiFi;-80;46
2633;ac:7a:56:c8:62:03;LU-Guest;-81;46
